Algorytm;Funkcja testowa;Liczba szukanych parametrów;Prawdopobieñstwo mutacji;Prawdopobieñstwo crossover;Liczba iteracji;Rozmiar populacji;Znalezione minimum;Œrednia wartoœæ znalezionych parametrów;Odchylenie standardowe znalezionych parametrów;Wartoœæ funkcji celu;Odchylenie standardowe funkcji celu
GA;Rastrigin;2;0,1;0,9;60;80;(1,394970318229498E-09, 5,580622884143625E-10);(-1,0014465007368585E-06, -0,0497674611378726);(0,31261418157002624, 0,1536995978744594);0;0,4477332586941447
GA;Rastrigin;2;0,1;0,9;80;80;(3,0256321748206704E-09, 1,308377716239049E-09);(-0,14924446129472013, 0,14924389703545338);(0,13286052068649504, 0,34126941216579604);0;0,49747953146753615
GA;Rastrigin;2;0,1;0,9;100;80;(-1,445472262314066E-09, -2,4551437719966584E-09);(0,24874068319267448, -0,04975133781327347);(0,29958739663034983, 0,25790590572554656);0;0,5969754672985023
GA;Rastrigin;2;0,1;0,9;1000;80;(3,7176618966367775E-09, -1,25361095056432E-10);(-0,04974794099665271, -0,14924386500723033);(0,04949715381569177, 0,132860707999865);0;0,19899181169279387
GA;Rosenbrock;2;0,1;0,9;5;10;(1,0550121631447338, 1,1049209438402303);(0,021559254610357664, 0,9020126723372902);(0,9571712848869303, 0,899836284214034);0,00963557370475323;19,13569764247205
GA;Rosenbrock;2;0,1;0,9;10;10;(0,9045321182910643, 0,8082171439518966);(0,09464049283273882, 1,0533663482947575);(0,9955809521087007, 0,7918067222003817);0,019036685048076728;16,89151683764555
GA;Rosenbrock;2;0,1;0,9;20;10;(1,1876757713281447, 1,4104765637644598);(-0,06363998386603478, 0,8501363589933023);(0,8751886257476443, 0,4558554059870033);0,03522313942293051;3,6282353417747606
GA;Rosenbrock;2;0,1;0,9;40;10;(0,9734186315651051, 0,9473211016508593);(0,07490457538843523, 0,8490677589948852);(0,9371500508935615, 0,46021749561161274);0,0007115300411019218;3,4964317543714225
GA;Rosenbrock;2;0,1;0,9;60;10;(0,9191285892474022, 0,8447399933528533);(0,0458162300114404, 1,0562528963526818);(1,1251927953840948, 1,0472854799234224);0,006540514211318971;2,3675157573703585
GA;Rosenbrock;2;0,1;0,9;80;10;(0,9756359913721893, 0,9521760720721029);(0,21105686359413248, 0,7754931682161132);(0,7721094159529709, 0,6017348716444908);0,0006032449733825837;1,3607591705052748
GA;Rosenbrock;2;0,1;0,9;100;10;(1,0934509368564416, 1,1953250591149651);(0,37726920828602845, 1,0195899128080363);(0,9233023958139431, 1,078587397025425);0,008742680916739179;1,2700697017826568
GA;Rosenbrock;2;0,1;0,9;1000;10;(1,0120357648251586, 1,0242794624647549);(0,4436169405912242, 1,0322576165218071);(0,8795609177192777, 0,5430791070218737);0,00014525745752388998;1,1458785950505588
GA;Rosenbrock;2;0,1;0,9;5;20;(1,0222546166209794, 1,0399815726049608);(0,25368760002339114, 0,8247547732728266);(0,8007121025430035, 0,5168350034714219);0,003018249130951763;1,4765539724686376
GA;Rosenbrock;2;0,1;0,9;10;20;(1,0891847259625669, 1,1868998532278514);(0,6238327468885693, 0,6860828651483151);(0,30011822706484764, 0,39916788418024624);0,007987148950960626;0,7363482492156306
GA;Rosenbrock;2;0,1;0,9;20;20;(1,0414428362566006, 1,084801902374811);(0,590073273088503, 0,6344402467118503);(0,30275377121677066, 0,3033433811142552);0,0017214576879130237;0,4570595583680048
